latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,source,bright_ti4,bright_ti5
-37.856,142.571,311.5,1.0,1.0,2020-04-21,425,A,71,6.0NRT,292.5,9.0,D,MODIS,,
-37.492,143.431,321.4,1.0,1.0,2020-04-21,425,A,81,6.0NRT,292.0,19.0,D,MODIS,,
-37.402,143.357,310.8,1.0,1.0,2020-04-21,425,A,61,6.0NRT,288.1,9.5,D,MODIS,,
-37.302,143.467,308.7,1.0,1.0,2020-04-21,425,A,67,6.0NRT,291.1,7.8,D,MODIS,,
-37.226,143.174,331.9,1.0,1.0,2020-04-21,425,A,88,6.0NRT,295.2,30.7,D,MODIS,,
-37.228,143.16299999999998,327.3,1.0,1.0,2020-04-21,425,A,85,6.0NRT,288.3,24.7,D,MODIS,,
-36.321999999999996,146.048,309.3,1.2,1.1,2020-04-21,425,A,0,6.0NRT,285.7,10.8,D,MODIS,,
-36.366,145.306,313.8,1.1,1.1,2020-04-21,425,A,68,6.0NRT,291.3,11.4,D,MODIS,,
-36.313,143.123,315.2,1.0,1.0,2020-04-21,425,A,70,6.0NRT,297.5,9.9,D,MODIS,,
-36.315,143.112,309.4,1.0,1.0,2020-04-21,425,A,57,6.0NRT,296.5,5.3,D,MODIS,,
-35.027,141.171,332.2,1.0,1.0,2020-04-21,430,A,85,6.0NRT,302.5,25.0,D,MODIS,,
-35.018,141.16899999999998,325.1,1.0,1.0,2020-04-21,430,A,47,6.0NRT,302.3,15.8,D,MODIS,,
-35.008,141.178,325.5,1.0,1.0,2020-04-21,430,A,63,6.0NRT,301.0,16.9,D,MODIS,,
-35.009,141.167,323.0,1.0,1.0,2020-04-21,430,A,45,6.0NRT,301.8,14.0,D,MODIS,,
-34.998000000000005,141.17600000000002,335.9,1.0,1.0,2020-04-21,430,A,87,6.0NRT,302.7,30.8,D,MODIS,,
-35.0,141.165,322.0,1.0,1.0,2020-04-21,430,A,52,6.0NRT,301.6,13.1,D,MODIS,,
-34.991,141.18,334.2,1.0,1.0,2020-04-21,430,A,86,6.0NRT,300.5,29.0,D,MODIS,,
-34.993,141.16899999999998,342.9,1.0,1.0,2020-04-21,430,A,92,6.0NRT,305.8,43.3,D,MODIS,,
-34.982,141.179,343.9,1.0,1.0,2020-04-21,430,A,92,6.0NRT,302.1,45.4,D,MODIS,,
-34.983000000000004,141.167,343.6,1.0,1.0,2020-04-21,430,A,92,6.0NRT,304.4,44.9,D,MODIS,,
-34.973,141.17700000000002,337.8,1.0,1.0,2020-04-21,430,A,89,6.0NRT,302.0,35.2,D,MODIS,,
-34.974000000000004,141.166,327.2,1.0,1.0,2020-04-21,430,A,81,6.0NRT,301.8,20.3,D,MODIS,,
-37.599000000000004,148.955,311.5,2.1,1.4,2020-04-22,330,A,71,6.0NRT,285.5,33.9,D,MODIS,,
-36.726,144.591,306.1,3.9,1.8,2020-04-22,330,A,52,6.0NRT,292.8,33.7,D,MODIS,,
-36.722,144.58700000000002,304.6,3.9,1.8,2020-04-22,330,A,59,6.0NRT,292.4,28.8,D,MODIS,,
-36.443000000000005,145.92600000000002,314.5,3.2,1.7,2020-04-22,330,A,74,6.0NRT,294.5,50.1,D,MODIS,,
-36.429,145.954,340.7,3.2,1.7,2020-04-22,330,A,92,6.0NRT,296.9,218.3,D,MODIS,,
-36.251,145.6,308.5,3.3,1.7,2020-04-22,330,A,65,6.0NRT,297.7,24.8,D,MODIS,,
-36.253,145.561,307.9,3.4,1.7,2020-04-22,330,A,64,6.0NRT,296.9,23.1,D,MODIS,,
-36.257,145.593,312.2,3.3,1.7,2020-04-22,330,A,70,6.0NRT,298.0,41.4,D,MODIS,,
-38.071,142.471,321.2,2.8,1.6,2020-04-22,510,A,56,6.0NRT,287.6,87.8,D,MODIS,,
-38.078,142.439,331.1,2.8,1.6,2020-04-22,510,A,0,6.0NRT,288.3,138.5,D,MODIS,,
-37.548,143.124,356.3,3.2,1.7,2020-04-22,510,A,85,6.0NRT,286.3,399.4,D,MODIS,,
-37.556999999999995,143.089,325.8,3.2,1.7,2020-04-22,510,A,46,6.0NRT,285.1,109.4,D,MODIS,,
-37.554,143.122,360.1,3.2,1.7,2020-04-22,510,A,75,6.0NRT,288.6,459.7,D,MODIS,,
-37.115,142.918,300.4,3.2,1.7,2020-04-22,510,A,21,6.0NRT,286.4,13.3,D,MODIS,,
-36.85,142.648,306.2,3.1,1.7,2020-04-22,510,A,61,6.0NRT,293.5,23.3,D,MODIS,,
-36.839,142.636,306.2,3.1,1.7,2020-04-22,510,A,60,6.0NRT,293.6,23.4,D,MODIS,,
-36.583,142.264,305.6,3.0,1.7,2020-04-22,510,A,29,6.0NRT,286.2,26.6,D,MODIS,,
-35.080999999999996,140.99,310.5,2.8,1.6,2020-04-22,510,A,54,6.0NRT,298.4,19.8,D,MODIS,,
-35.080999999999996,140.986,311.5,2.8,1.6,2020-04-22,510,A,42,6.0NRT,298.3,20.8,D,MODIS,,
-34.832,141.32399999999998,310.2,3.0,1.6,2020-04-22,510,A,59,6.0NRT,296.7,28.4,D,MODIS,,
-34.839,141.292,328.2,2.9,1.6,2020-04-22,510,A,83,6.0NRT,297.5,109.8,D,MODIS,,
-34.846,141.261,338.1,2.9,1.6,2020-04-22,510,A,90,6.0NRT,298.2,174.0,D,MODIS,,
-34.834,141.32,313.8,3.0,1.6,2020-04-22,510,A,67,6.0NRT,296.7,39.8,D,MODIS,,
-34.841,141.289,330.7,2.9,1.6,2020-04-22,510,A,85,6.0NRT,297.7,122.9,D,MODIS,,
-34.848,141.257,326.7,2.9,1.6,2020-04-22,510,A,82,6.0NRT,298.0,96.8,D,MODIS,,
-38.024,146.59,303.2,1.0,1.0,2020-04-23,415,A,55,6.0NRT,281.0,6.4,D,MODIS,,
-38.025999999999996,146.579,317.9,1.0,1.0,2020-04-23,415,A,78,6.0NRT,281.9,17.4,D,MODIS,,
-36.536,145.368,304.7,1.0,1.0,2020-04-23,415,A,60,6.0NRT,288.7,4.4,D,MODIS,,
